sort_method,input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
bitonic_parallel,in_32.in,32,1024,1,5,0.000025,0.000013,"[1.9e-05, 4.8e-05, 1.9e-05, 1.9e-05, 1.9e-05]"
bitonic_parallel,in_32.in,32,2048,1,5,0.000027,0.000010,"[1.9e-05, 1.9e-05, 2.1e-05, 3.2e-05, 4.2e-05]"
bitonic_parallel,in_32.in,32,4096,1,5,0.000033,0.000012,"[1.9e-05, 4.2e-05, 4.1e-05, 4.2e-05, 2.1e-05]"
bitonic_parallel,in_32.in,32,1024,2,5,0.000099,0.000004,"[9.8e-05, 9.7e-05, 9.7e-05, 9.9e-05, 0.000106]"
bitonic_parallel,in_32.in,32,2048,2,5,0.000133,0.000046,"[0.000184, 0.000107, 9.6e-05, 9.5e-05, 0.000182]"
bitonic_parallel,in_32.in,32,4096,2,5,0.000119,0.000040,"[9.7e-05, 0.000101, 0.00019, 0.00011, 9.7e-05]"
bitonic_parallel,in_32.in,32,1024,5,5,0.000227,0.000004,"[0.000233, 0.000224, 0.000229, 0.000227, 0.000223]"
bitonic_parallel,in_32.in,32,2048,5,5,0.000221,0.000015,"[0.000218, 0.00021, 0.000241, 0.000205, 0.000231]"
bitonic_parallel,in_32.in,32,4096,5,5,0.000247,0.000051,"[0.000243, 0.000214, 0.000209, 0.000233, 0.000335]"
bitonic_parallel,in_32.in,32,1024,10,5,0.000473,0.000060,"[0.000408, 0.00044, 0.000503, 0.00056, 0.000453]"
bitonic_parallel,in_32.in,32,2048,10,5,0.000396,0.000032,"[0.000372, 0.000378, 0.000445, 0.000412, 0.000373]"
bitonic_parallel,in_32.in,32,4096,10,5,0.000421,0.000022,"[0.000443, 0.000424, 0.000385, 0.000434, 0.00042]"
bitonic_parallel,in_32.in,32,1024,20,5,0.000779,0.000049,"[0.000731, 0.000744, 0.000758, 0.000841, 0.000823]"
bitonic_parallel,in_32.in,32,2048,20,5,0.000750,0.000022,"[0.000744, 0.000727, 0.000732, 0.000774, 0.000773]"
bitonic_parallel,in_32.in,32,4096,20,5,0.000803,0.000056,"[0.00084, 0.000879, 0.000737, 0.000777, 0.000781]"
bitonic_parallel,in_32.in,32,1024,40,5,0.001591,0.000028,"[0.001585, 0.001614, 0.001625, 0.001568, 0.001561]"
bitonic_parallel,in_32.in,32,2048,40,5,0.003123,0.001429,"[0.001588, 0.001564, 0.004207, 0.004436, 0.003821]"
bitonic_parallel,in_32.in,32,4096,40,5,0.002070,0.001114,"[0.001604, 0.001593, 0.004061, 0.001487, 0.001606]"
bitonic_parallel,in_64.in,64,1024,1,5,0.000071,0.000029,"[9.6e-05, 4.1e-05, 9e-05, 3.8e-05, 9.1e-05]"
bitonic_parallel,in_64.in,64,2048,1,5,0.000050,0.000026,"[3.8e-05, 4.3e-05, 3.7e-05, 3.7e-05, 9.6e-05]"
bitonic_parallel,in_64.in,64,4096,1,5,0.000059,0.000030,"[3.8e-05, 3.7e-05, 9.6e-05, 3.7e-05, 8.9e-05]"
bitonic_parallel,in_64.in,64,1024,2,5,0.000188,0.000065,"[0.000239, 0.000118, 0.000231, 0.000116, 0.000238]"
bitonic_parallel,in_64.in,64,2048,2,5,0.000177,0.000063,"[0.000234, 0.000207, 0.00011, 0.000226, 0.000109]"
bitonic_parallel,in_64.in,64,4096,2,5,0.000177,0.000056,"[0.000236, 0.000107, 0.000233, 0.000153, 0.000158]"
bitonic_parallel,in_64.in,64,1024,5,5,0.000309,0.000059,"[0.000335, 0.000363, 0.000351, 0.000229, 0.000265]"
bitonic_parallel,in_64.in,64,2048,5,5,0.000288,0.000060,"[0.000234, 0.000225, 0.000326, 0.000365, 0.00029]"
bitonic_parallel,in_64.in,64,4096,5,5,0.000317,0.000112,"[0.000345, 0.00023, 0.000497, 0.000289, 0.000226]"
bitonic_parallel,in_64.in,64,1024,10,5,0.000501,0.000074,"[0.000566, 0.000452, 0.000456, 0.000597, 0.000436]"
bitonic_parallel,in_64.in,64,2048,10,5,0.000535,0.000217,"[0.000921, 0.000449, 0.000436, 0.000407, 0.000463]"
bitonic_parallel,in_64.in,64,4096,10,5,0.000512,0.000072,"[0.000454, 0.000528, 0.00043, 0.000536, 0.00061]"
bitonic_parallel,in_64.in,64,1024,20,5,0.000845,0.000065,"[0.000845, 0.000901, 0.000915, 0.000762, 0.000803]"
